Tweet-Id,Friends,Tweets,Followers,Verified,Listed,Description,Image,Created,URL,Age,HasURL-TW,HasMedia-Tw,Label
1324337223773360128,130,1020972,14940,0,275,102,0,Sat Jun 04 14:57:55 +0000 2011,1,10,1,0,
1324354589479624704,4324,141874,3363,0,9,40,1,Sat Jul 14 19:38:52 +0000 2018,0,3,1,1,
1324459373863800834,6337,20672,201261,0,5091,111,0,Fri Jan 09 03:02:19 +0000 2009,1,12,1,0,
1324491592590364673,1767,24188,74135,1,323,125,0,Mon Oct 26 17:10:20 +0000 2009,1,12,1,0,__label3__
1324543302113218561,95,12841,34,0,1,127,1,Mon Jun 15 14:06:51 +0000 2020,1,1,1,0,
1324562174400847873,1,273,5,0,0,0,1,Sat Oct 17 09:09:39 +0000 2020,0,1,1,0,__label3__
1324562456656502785,1,273,5,0,0,0,1,Sat Oct 17 09:09:39 +0000 2020,0,1,1,1,
1324775921153462276,4,168,1,0,0,0,1,Tue Mar 01 14:24:14 +0000 2016,0,5,1,0,__label1__
1324775921153462276,4,168,1,0,0,0,1,Tue Mar 01 14:24:14 +0000 2016,0,5,1,1,__label1__
1324801846192558083,519,1934,189,0,3,3,0,Sat Feb 14 03:37:29 +0000 2009,0,12,1,0,
1324813994960584707,1914,13073,445,0,3,147,0,Tue Aug 07 16:21:21 +0000 2018,1,3,1,0,
1324841915586473986,237,2034,31325,1,237,143,0,Fri Jun 19 21:23:54 +0000 2009,1,12,1,0,__label3__
1324920468596424704,1,273,5,0,0,0,1,Sat Oct 17 09:09:39 +0000 2020,0,1,1,0,__label1__
1324921827563462656,1,273,5,0,0,0,1,Sat Oct 17 09:09:39 +0000 2020,0,1,0,0,__label3__
1324972209107062784,0,8744,99,0,1,74,1,Tue Oct 27 19:50:37 +0000 2020,0,1,0,1,__label3__
1325015170813485056,11997,5319,11608,0,248,159,0,Wed Dec 16 07:21:51 +0000 2015,0,6,1,0,__label1__
1325043383933362176,2,32,10,0,0,0,1,Sat Nov 07 03:32:57 +0000 2020,0,1,1,0,__label3__
1325128314206314497,713,585,286,0,0,142,1,Sat Feb 22 11:05:13 +0000 2020,1,1,1,0,__label2__
1325207358369304576,12486,236,9759,0,98,91,0,Fri Apr 09 15:42:18 +0000 2010,0,11,0,0,__label3__
1325210549202792450,43954,727391,74576,0,11285,152,0,Fri Jul 19 11:08:35 +0000 2013,1,8,1,0,__label3__
1325243524384608256,414,221815,6419,0,37,120,0,Sat May 02 10:15:58 +0000 2009,1,12,1,0,
1325346221066645504,2,32,10,0,0,0,1,Sat Nov 07 03:32:57 +0000 2020,0,1,1,1,__label3__
1325484684663353346,509,18938,503,0,78,160,0,Thu Nov 19 12:39:25 +0000 2009,1,12,1,1,
1325485008925192193,20,36078,342,0,7,0,1,Thu Oct 15 10:50:35 +0000 2020,0,1,1,0,__label1__
